artifactId,normalizedText,tags,typeEncoding,roleEncoding,workspaceEncoding,packEncoding,dependencyCount,riskScore,readinessScore
aa-gradient,aa-gradient a-a gradient calculator calculator tools calculators aa-gradient core-platform product-core-platform clinical calculator operations emergency physician hospitalist nurse icu clinician medical student hospital medium alveolar-arterial oxygen gradient from abg values and fio2 assumptions does not diagnose pe shunt v q mismatch or respiratory failure src pages tools calculators jsx toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js calculator calculator clinical operations core-platform,calculator|Calculator|clinical|operations|core-platform,type:calculator,role:emergency-physician|role:hospitalist|role:nurse|role:icu-clinician|role:medical-student,workspace:clinical|workspace:calculator|workspace:operations,pack:core-platform,7,0.5,0.62
abcd2,abcd2 abcd score calculator calculator tools calculators abcd2 emergency-medicine emergency-department-pack product-emergency-department emergency clinical calculator emergency physician icu clinician nurse hospitalist hospital medium abcd score for short-term stroke risk after tia age blood pressure clinical features duration diabetes 0 7 src pages tools calculators jsx toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js calculator calculator emergency clinical emergency-medicine emergency-department-pack,calculator|Calculator|emergency|clinical|emergency-medicine|emergency-department-pack,type:calculator,role:emergency-physician|role:icu-clinician|role:nurse|role:hospitalist,workspace:emergency|workspace:clinical|workspace:calculator,pack:emergency-medicine|pack:emergency-department-pack,7,0.5,0.62
abg-interpreter,abg-interpreter abg interpreter tool diagnostic tools lab-interpreter laboratory-intelligence product-laboratory clinical diagnostic laboratory emergency physician hospitalist nurse icu clinician medical student hospital low abg and acid base interpretation support lab interpreter page clinical decision support only does not establish a diagnosis src pages tools labinterpreter jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js tool diagnostic clinical diagnostic laboratory laboratory-intelligence,tool|Diagnostic|clinical|diagnostic|laboratory|laboratory-intelligence,type:tool,role:emergency-physician|role:hospitalist|role:nurse|role:icu-clinician|role:medical-student,workspace:clinical|workspace:diagnostic|workspace:laboratory,pack:laboratory-intelligence,8,0.2,0.58
acls-protocol,acls-protocol acls protocol tool calculator protocols ai-workflow-pack core-platform cardiology-pack laboratory-intelligence simulation-training-pack product-core-platform product-cardiology product-laboratory product-simulation-training simulation education clinical training cardiology pharmacy calculator assistant ai-workflow operations laboratory emergency physician nurse medical student icu clinician biomedical engineer fleet operator cardiologist hospitalist pharmacist hospital medium resuscitation algorithms src pages tools protocols jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js tool calculator simulation education clinical training cardiology pharmacy calculator assistant ai-workflow operations laboratory ai-workflow-pack core-platform cardiology-pack laboratory-intelligence simulation-training-pack,tool|Calculator|simulation|education|clinical|training|cardiology|pharmacy|calculator|assistant|ai-workflow|operations|laboratory|ai-workflow-pack|core-platform|cardiology-pack|laboratory-intelligence|simulation-training-pack,type:tool,role:emergency-physician|role:nurse|role:medical-student|role:icu-clinician|role:biomedical-engineer|role:fleet-operator|role:cardiologist|role:hospitalist|role:pharmacist,workspace:simulation|workspace:education|workspace:clinical|workspace:training|workspace:cardiology|workspace:pharmacy|workspace:calculator|workspace:assistant|workspace:ai-workflow|workspace:operations|workspace:laboratory,pack:ai-workflow-pack|pack:core-platform|pack:cardiology-pack|pack:laboratory-intelligence|pack:simulation-training-pack,8,0.5,0.58
acs-workflow-assistant,acs-workflow-assistant acs workflow assistant tool calculator tools cardiology acs-workflow-assistant ai-workflow-pack core-platform cardiology-pack product-core-platform product-cardiology cardiology clinical calculator assistant ai-workflow operations cardiologist emergency physician hospitalist hospital medium acs workflow support across ecg review serial biomarkers risk score selection and reassessment checkpoints src pages tools cardiologyassistantpage jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool calculator cardiology clinical calculator assistant ai-workflow operations ai-workflow-pack core-platform cardiology-pack,ai-assisted-tool|Calculator|cardiology|clinical|calculator|assistant|ai-workflow|operations|ai-workflow-pack|core-platform|cardiology-pack,type:tool,role:cardiologist|role:emergency-physician|role:hospitalist,workspace:cardiology|workspace:clinical|workspace:calculator|workspace:assistant|workspace:ai-workflow|workspace:operations,pack:ai-workflow-pack|pack:core-platform|pack:cardiology-pack,8,0.5,0.58
adjusted-body-weight,adjusted-body-weight adjusted body weight calculator calculator tools calculators adjusted-body-weight laboratory-intelligence product-laboratory pharmacy clinical calculator laboratory pharmacist hospitalist emergency physician nurse hospital medium adjusted body weight estimate from actual weight ideal body weight and correction factor not dosing automation src pages tools calculators jsx toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js calculator calculator pharmacy clinical laboratory laboratory-intelligence,calculator|Calculator|pharmacy|clinical|laboratory|laboratory-intelligence,type:calculator,role:pharmacist|role:hospitalist|role:emergency-physician|role:nurse,workspace:pharmacy|workspace:clinical|workspace:calculator|workspace:laboratory,pack:laboratory-intelligence,7,0.5,0.62
ai-artifacts,ai-artifacts ai artifacts tool ai system artifacts ai-workflow-pack core-platform medical-iot-pack hospital-operations digital-twin-pack product-core-platform product-medical-iot product-hospital-operations product-digital-twin admin operations assistant ai-workflow clinical medical-iot maps administrator biomedical engineer icu clinician nurse hospital high artifact workspace for saved ai outputs workflow assets telemetry schemas protocols and templates src pages artifacts jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool ai system admin operations assistant ai-workflow clinical medical-iot maps ai-workflow-pack core-platform medical-iot-pack hospital-operations digital-twin-pack,ai-assisted-tool|AI System|admin|operations|assistant|ai-workflow|clinical|medical-iot|maps|ai-workflow-pack|core-platform|medical-iot-pack|hospital-operations|digital-twin-pack,type:tool,role:administrator|role:biomedical-engineer|role:icu-clinician|role:nurse,workspace:admin|workspace:operations|workspace:assistant|workspace:ai-workflow|workspace:clinical|workspace:medical-iot|workspace:maps,pack:ai-workflow-pack|pack:core-platform|pack:medical-iot-pack|pack:hospital-operations|pack:digital-twin-pack,8,0.8,0.58
ai-command-center,ai-command-center ai command center tool ai system ai-command-center ai-workflow-pack core-platform hospital-operations digital-twin-pack research-education product-core-platform product-hospital-operations product-digital-twin product-research admin operations research reference assistant ai-workflow clinical maps education administrator icu clinician nurse biomedical engineer researcher medical student hospitalist hospital high unified ai operations dashboard spanning health active experts rag memory tools costs hallucination retrieval and audit logs src pages aicommandcenterdashboard jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool ai system admin operations research reference assistant ai-workflow clinical maps education ai-workflow-pack core-platform hospital-operations digital-twin-pack research-education,ai-assisted-tool|AI System|admin|operations|research|reference|assistant|ai-workflow|clinical|maps|education|ai-workflow-pack|core-platform|hospital-operations|digital-twin-pack|research-education,type:tool,role:administrator|role:icu-clinician|role:nurse|role:biomedical-engineer|role:researcher|role:medical-student|role:hospitalist,workspace:admin|workspace:operations|workspace:research|workspace:reference|workspace:assistant|workspace:ai-workflow|workspace:clinical|workspace:maps|workspace:education,pack:ai-workflow-pack|pack:core-platform|pack:hospital-operations|pack:digital-twin-pack|pack:research-education,8,0.8,0.58
ai-cost-optimization,ai-cost-optimization ai cost optimization tool ai system costs ai-workflow-pack core-platform cardiology-pack product-core-platform product-cardiology admin cardiology clinical assistant ai-workflow operations administrator cardiologist emergency physician hospitalist hospital high cost optimizer dashboard for route prediction cache metrics token spend and savings snapshots src pages costanalyticsdashboard jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool ai system admin cardiology clinical assistant ai-workflow operations ai-workflow-pack core-platform cardiology-pack,ai-assisted-tool|AI System|admin|cardiology|clinical|assistant|ai-workflow|operations|ai-workflow-pack|core-platform|cardiology-pack,type:tool,role:administrator|role:cardiologist|role:emergency-physician|role:hospitalist,workspace:admin|workspace:cardiology|workspace:clinical|workspace:assistant|workspace:ai-workflow|workspace:operations,pack:ai-workflow-pack|pack:core-platform|pack:cardiology-pack,8,0.8,0.58
ai-evaluation,ai-evaluation ai evaluation tool ai system ai evaluation ai-workflow-pack core-platform product-core-platform clinical assistant ai-workflow operations emergency physician hospitalist cardiologist nurse icu clinician pediatric clinician pharmacist fleet operator biomedical engineer administrator researcher medical student hospital medium evaluation framework for hallucination accuracy latency retrieval precision tool success satisfaction and cost metrics src pages aievaluationdashboard jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool ai system clinical assistant ai-workflow operations ai-workflow-pack core-platform,ai-assisted-tool|AI System|clinical|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,type:tool,role:emergency-physician|role:hospitalist|role:cardiologist|role:nurse|role:icu-clinician|role:pediatric-clinician|role:pharmacist|role:fleet-operator|role:biomedical-engineer|role:administrator|role:researcher|role:medical-student,workspace:clinical|workspace:assistant|workspace:ai-workflow|workspace:operations,pack:ai-workflow-pack|pack:core-platform,8,0.5,0.58
