artifactId,name,type,category,route,sourceFile,frontendStatus,backendStatus,demoStatus,assetPack,product,workspace,roles,organizationTypes,riskLevel,description,dependencies,tags,embeddingText,status
aa-gradient,A-a Gradient,calculator,Calculator,/tools/calculators/aa-gradient,src/pages/tools/Calculators.jsx,frontend-routed,unsupported,unsupported,core-platform,product-core-platform,clinical|calculator|operations,emergency physician|hospitalist|nurse|ICU clinician|medical student,hospital,medium,"Alveolar-arterial oxygen gradient from ABG values and FiO2 assumptions. Does not diagnose PE, shunt, V/Q mismatch, or respiratory failure.",src/pages/tools/Calculators.jsx|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,calculator|Calculator|clinical|operations|core-platform,aa-gradient a-a gradient calculator calculator tools calculators aa-gradient core-platform product-core-platform clinical calculator operations emergency physician hospitalist nurse icu clinician medical student hospital medium alveolar-arterial oxygen gradient from abg values and fio2 assumptions does not diagnose pe shunt v q mismatch or respiratory failure src pages tools calculators jsx toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js calculator calculator clinical operations core-platform,draft
abcd2,ABCD² score,calculator,Calculator,/tools/calculators/abcd2,src/pages/tools/Calculators.jsx,frontend-routed,unsupported,unsupported,emergency-medicine|emergency-department-pack,product-emergency-department,emergency|clinical|calculator,emergency physician|ICU clinician|nurse|hospitalist,hospital,medium,"ABCD² score for short-term stroke risk after TIA: age, blood pressure, clinical features, duration, diabetes (0–7).",src/pages/tools/Calculators.jsx|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,calculator|Calculator|emergency|clinical|emergency-medicine|emergency-department-pack,abcd2 abcd score calculator calculator tools calculators abcd2 emergency-medicine emergency-department-pack product-emergency-department emergency clinical calculator emergency physician icu clinician nurse hospitalist hospital medium abcd score for short-term stroke risk after tia age blood pressure clinical features duration diabetes 0 7 src pages tools calculators jsx toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js calculator calculator emergency clinical emergency-medicine emergency-department-pack,draft
abg-interpreter,ABG Interpreter,tool,Diagnostic,/tools/lab-interpreter,src/pages/tools/LabInterpreter.jsx,frontend-routed,unsupported,unsupported,laboratory-intelligence,product-laboratory,clinical|diagnostic|laboratory,emergency physician|hospitalist|nurse|ICU clinician|medical student,hospital,low,ABG and acid–base interpretation support (Lab Interpreter page) — clinical decision support only; does not establish a diagnosis.,src/pages/tools/LabInterpreter.jsx|src/services/clinicalChatService.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,tool|Diagnostic|clinical|diagnostic|laboratory|laboratory-intelligence,abg-interpreter abg interpreter tool diagnostic tools lab-interpreter laboratory-intelligence product-laboratory clinical diagnostic laboratory emergency physician hospitalist nurse icu clinician medical student hospital low abg and acid base interpretation support lab interpreter page clinical decision support only does not establish a diagnosis src pages tools labinterpreter jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js tool diagnostic clinical diagnostic laboratory laboratory-intelligence,draft
acls-protocol,ACLS Protocol,tool,Calculator,/protocols,src/pages/tools/Protocols.jsx,frontend-routed,unsupported,unsupported,ai-workflow-pack|core-platform|cardiology-pack|laboratory-intelligence|simulation-training-pack,product-core-platform|product-cardiology|product-laboratory|product-simulation-training,simulation|education|clinical|training|cardiology|pharmacy|calculator|assistant|ai-workflow|operations|laboratory,emergency physician|nurse|medical student|ICU clinician|biomedical engineer|fleet operator|cardiologist|hospitalist|pharmacist,hospital,medium,Resuscitation algorithms.,src/pages/tools/Protocols.jsx|src/services/clinicalChatService.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,tool|Calculator|simulation|education|clinical|training|cardiology|pharmacy|calculator|assistant|ai-workflow|operations|laboratory|ai-workflow-pack|core-platform|cardiology-pack|laboratory-intelligence|simulation-training-pack,acls-protocol acls protocol tool calculator protocols ai-workflow-pack core-platform cardiology-pack laboratory-intelligence simulation-training-pack product-core-platform product-cardiology product-laboratory product-simulation-training simulation education clinical training cardiology pharmacy calculator assistant ai-workflow operations laboratory emergency physician nurse medical student icu clinician biomedical engineer fleet operator cardiologist hospitalist pharmacist hospital medium resuscitation algorithms src pages tools protocols jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js tool calculator simulation education clinical training cardiology pharmacy calculator assistant ai-workflow operations laboratory ai-workflow-pack core-platform cardiology-pack laboratory-intelligence simulation-training-pack,draft
acs-workflow-assistant,ACS Workflow Assistant,tool,Calculator,/tools/cardiology/acs-workflow-assistant,src/pages/tools/CardiologyAssistantPage.jsx,frontend-routed,unsupported,unsupported,ai-workflow-pack|core-platform|cardiology-pack,product-core-platform|product-cardiology,cardiology|clinical|calculator|assistant|ai-workflow|operations,cardiologist|emergency physician|hospitalist,hospital,medium,"ACS workflow support across ECG review, serial biomarkers, risk score selection, and reassessment checkpoints.",src/pages/tools/CardiologyAssistantPage.jsx|src/services/clinicalChatService.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,ai-assisted-tool|Calculator|cardiology|clinical|calculator|assistant|ai-workflow|operations|ai-workflow-pack|core-platform|cardiology-pack,acs-workflow-assistant acs workflow assistant tool calculator tools cardiology acs-workflow-assistant ai-workflow-pack core-platform cardiology-pack product-core-platform product-cardiology cardiology clinical calculator assistant ai-workflow operations cardiologist emergency physician hospitalist hospital medium acs workflow support across ecg review serial biomarkers risk score selection and reassessment checkpoints src pages tools cardiologyassistantpage jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool calculator cardiology clinical calculator assistant ai-workflow operations ai-workflow-pack core-platform cardiology-pack,draft
adjusted-body-weight,Adjusted Body Weight,calculator,Calculator,/tools/calculators/adjusted-body-weight,src/pages/tools/Calculators.jsx,frontend-routed,unsupported,unsupported,laboratory-intelligence,product-laboratory,pharmacy|clinical|calculator|laboratory,pharmacist|hospitalist|emergency physician|nurse,hospital,medium,"Adjusted body weight estimate from actual weight, ideal body weight, and correction factor. Not dosing automation.",src/pages/tools/Calculators.jsx|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,calculator|Calculator|pharmacy|clinical|laboratory|laboratory-intelligence,adjusted-body-weight adjusted body weight calculator calculator tools calculators adjusted-body-weight laboratory-intelligence product-laboratory pharmacy clinical calculator laboratory pharmacist hospitalist emergency physician nurse hospital medium adjusted body weight estimate from actual weight ideal body weight and correction factor not dosing automation src pages tools calculators jsx toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js calculator calculator pharmacy clinical laboratory laboratory-intelligence,draft
ai-artifacts,AI Artifacts,tool,AI System,/artifacts,src/pages/Artifacts.jsx,frontend-routed,unsupported,unsupported,ai-workflow-pack|core-platform|medical-iot-pack|hospital-operations|digital-twin-pack,product-core-platform|product-medical-iot|product-hospital-operations|product-digital-twin,admin|operations|assistant|ai-workflow|clinical|medical-iot|maps,administrator|biomedical engineer|ICU clinician|nurse,hospital,high,"Artifact workspace for saved AI outputs, workflow assets, telemetry schemas, protocols, and templates.",src/pages/Artifacts.jsx|src/services/clinicalChatService.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,ai-assisted-tool|AI System|admin|operations|assistant|ai-workflow|clinical|medical-iot|maps|ai-workflow-pack|core-platform|medical-iot-pack|hospital-operations|digital-twin-pack,ai-artifacts ai artifacts tool ai system artifacts ai-workflow-pack core-platform medical-iot-pack hospital-operations digital-twin-pack product-core-platform product-medical-iot product-hospital-operations product-digital-twin admin operations assistant ai-workflow clinical medical-iot maps administrator biomedical engineer icu clinician nurse hospital high artifact workspace for saved ai outputs workflow assets telemetry schemas protocols and templates src pages artifacts jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool ai system admin operations assistant ai-workflow clinical medical-iot maps ai-workflow-pack core-platform medical-iot-pack hospital-operations digital-twin-pack,draft
ai-command-center,AI Command Center,tool,AI System,/ai-command-center,src/pages/AiCommandCenterDashboard.jsx,frontend-routed,unsupported,unsupported,ai-workflow-pack|core-platform|hospital-operations|digital-twin-pack|research-education,product-core-platform|product-hospital-operations|product-digital-twin|product-research,admin|operations|research|reference|assistant|ai-workflow|clinical|maps|education,administrator|ICU clinician|nurse|biomedical engineer|researcher|medical student|hospitalist,hospital,high,"Unified AI operations dashboard spanning health, active experts, RAG, memory, tools, costs, hallucination, retrieval, and audit logs.",src/pages/AiCommandCenterDashboard.jsx|src/services/clinicalChatService.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,ai-assisted-tool|AI System|admin|operations|research|reference|assistant|ai-workflow|clinical|maps|education|ai-workflow-pack|core-platform|hospital-operations|digital-twin-pack|research-education,ai-command-center ai command center tool ai system ai-command-center ai-workflow-pack core-platform hospital-operations digital-twin-pack research-education product-core-platform product-hospital-operations product-digital-twin product-research admin operations research reference assistant ai-workflow clinical maps education administrator icu clinician nurse biomedical engineer researcher medical student hospitalist hospital high unified ai operations dashboard spanning health active experts rag memory tools costs hallucination retrieval and audit logs src pages aicommandcenterdashboard jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool ai system admin operations research reference assistant ai-workflow clinical maps education ai-workflow-pack core-platform hospital-operations digital-twin-pack research-education,draft
ai-cost-optimization,AI Cost Optimization,tool,AI System,/costs,src/pages/CostAnalyticsDashboard.jsx,frontend-routed,unsupported,unsupported,ai-workflow-pack|core-platform|cardiology-pack,product-core-platform|product-cardiology,admin|cardiology|clinical|assistant|ai-workflow|operations,administrator|cardiologist|emergency physician|hospitalist,hospital,high,"Cost optimizer dashboard for route prediction, cache metrics, token spend, and savings snapshots.",src/pages/CostAnalyticsDashboard.jsx|src/services/clinicalChatService.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,ai-assisted-tool|AI System|admin|cardiology|clinical|assistant|ai-workflow|operations|ai-workflow-pack|core-platform|cardiology-pack,ai-cost-optimization ai cost optimization tool ai system costs ai-workflow-pack core-platform cardiology-pack product-core-platform product-cardiology admin cardiology clinical assistant ai-workflow operations administrator cardiologist emergency physician hospitalist hospital high cost optimizer dashboard for route prediction cache metrics token spend and savings snapshots src pages costanalyticsdashboard jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool ai system admin cardiology clinical assistant ai-workflow operations ai-workflow-pack core-platform cardiology-pack,draft
ai-evaluation,AI Evaluation,tool,AI System,/ai/evaluation,src/pages/AiEvaluationDashboard.jsx,frontend-routed,unsupported,unsupported,ai-workflow-pack|core-platform,product-core-platform,clinical|assistant|ai-workflow|operations,emergency physician|hospitalist|cardiologist|nurse|ICU clinician|pediatric clinician|pharmacist|fleet operator|biomedical engineer|administrator|researcher|medical student,hospital,medium,"Evaluation framework for hallucination, accuracy, latency, retrieval precision, tool success, satisfaction, and cost metrics.",src/pages/AiEvaluationDashboard.jsx|src/services/clinicalChatService.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,ai-assisted-tool|AI System|clinical|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,ai-evaluation ai evaluation tool ai system ai evaluation ai-workflow-pack core-platform product-core-platform clinical assistant ai-workflow operations emergency physician hospitalist cardiologist nurse icu clinician pediatric clinician pharmacist fleet operator biomedical engineer administrator researcher medical student hospital medium evaluation framework for hallucination accuracy latency retrieval precision tool success satisfaction and cost metrics src pages aievaluationdashboard jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool ai system clinical assistant ai-workflow operations ai-workflow-pack core-platform,draft
